mag,mag_error,time,flux,flux_error
-11.328971499121286,0.0019632129180353,2021-07-10T03:28:37.380,1710087.8341932828,3092.156743369502
-11.294174263829003,0.002022406132532019,2021-07-10T03:21:56.850,1656116.5085234838,3084.856310720102
-11.302712290032792,0.0020138834229801042,2021-07-10T03:25:17.232,1669191.2398706595,3096.1080168713593
-11.379583142943883,0.0019071773617190563,2021-07-10T03:36:30.108,1791869.003444879,3147.55276977934
-11.361181503231382,0.001928650154717666,2021-07-10T03:33:09.295,1761475.0972175424,3129.0005840200774
-11.277317077253228,0.002064011976067005,2021-07-10T03:17:29.161,1630472.4400695262,3099.569332037139
-11.29744505371331,0.0020195748189303447,2021-07-10T03:20:49.504,1661377.3787107412,3090.3233253902354
-11.327157521378803,0.001976872531668121,2021-07-10T03:26:23.976,1707470.7782946578,3108.9062568275053
-11.361003845901132,0.0019016427978947455,2021-07-10T03:31:58.770,1761327.0009078581,3084.925041032534
-11.293040241953678,0.002047660770785467,2021-07-10T03:18:35.962,1654552.150650594,3120.4278877857696
-11.37351743968776,0.0019004753422392129,2021-07-10T03:34:16.415,1781602.7825688662,3118.5219237403794
-11.372271007227564,0.0019037409377418181,2021-07-10T03:35:23.407,1779841.8023056877,3120.7927735156854
-11.328327974459445,0.0019621668227656247,2021-07-10T03:24:10.648,1709074.551572685,3088.677864874203
-11.302747328683333,0.0020060028064011652,2021-07-10T03:23:03.688,1669278.3055357563,3084.1533614652503
-11.356499771131412,0.001948719250490557,2021-07-10T03:29:44.606,1754140.0814014426,3148.3950979101483
-11.266769857512312,0.002080388800109486,2021-07-10T03:16:22.045,1614967.066932541,3094.4527628979467
-11.359124132798819,0.0019541013005684674,2021-07-10T03:30:52.021,1758210.356662956,3164.4161165219784
-11.339125030948527,0.0019554479988702893,2021-07-10T03:27:30.294,1726361.1257784686,3109.2353685331877
-11.302641376244836,0.0020305291076717098,2021-07-10T03:19:42.886,1669148.6093889587,3121.619065055553
-11.798829999326747,0.0007991128312047369,2021-07-10T13:18:00.143,2618432.650473297,1927.1929216957178
-11.895099263703244,0.0007528799425536573,2021-07-10T13:02:34.014,2860518.4923895993,1983.5637687919982
-11.790570153980784,0.0008089690281074005,2021-07-10T13:12:31.370,2598015.949426619,1935.7505335132287
-11.889509648451298,0.0007607124861412394,2021-07-10T13:05:53.591,2846399.6467718547,1994.3074039146804
-11.822259519943978,0.0007840900528789481,2021-07-10T13:19:06.698,2674961.645237299,1931.7867532385678
-11.890258235593729,0.0007617331119235891,2021-07-10T13:04:47.583,2848020.6627690075,1998.1203839076227
-11.790584419635357,0.0008087813269548301,2021-07-10T13:11:25.269,2598102.1129780672,1935.3655752565212
-11.804440478486748,0.0008001886543903926,2021-07-10T13:14:42.967,2631840.1821577903,1939.668811542079
-11.810973650223659,0.0007982754708025177,2021-07-10T13:09:12.460,2647406.3432584596,1946.4760738461457
-11.885541048893511,0.0007633653779886627,2021-07-10T13:07:00.131,2835844.086716634,1993.8408461340837
-11.82938852763771,0.0007882782172124563,2021-07-10T13:13:36.662,2692799.0726598804,1955.0557888788062
-11.873463680729454,0.0007596827213998086,2021-07-10T13:01:27.673,2804361.590971282,1962.193980344201
-11.824884264055964,0.0007872728835683599,2021-07-10T13:16:54.586,2681543.5256700637,1944.4009462120039
-11.791765262881245,0.0007932267637493347,2021-07-10T13:21:21.883,2601293.927231216,1900.4763352421169
-11.881649202370514,0.0007620551522074379,2021-07-10T13:08:06.408,2826093.1919180066,1983.5747100275144
-11.807921526312267,0.0007978852332722268,2021-07-10T13:15:48.226,2640450.4287580093,1940.4127789610407
-11.845430251480703,0.0007727354404387549,2021-07-10T13:00:20.913,2733154.0961805773,1945.2285233221812
-11.827404808606213,0.0007918243743782494,2021-07-10T13:10:18.564,2687937.4469248615,1960.3052545837206
-11.906228469900213,0.0007530815390732392,2021-07-10T13:03:41.254,2890337.930175758,2004.7780734947646
-11.807869512244407,0.0007865460584475301,2021-07-10T13:20:15.677,2640429.661476325,1912.821488074817
-11.04575462796036,0.0008650633980634672,2021-07-08T03:04:22.146,2627365.5870278496,2093.360977287895
-11.024253290335444,0.0008716034591611337,2021-07-08T03:08:16.963,2576000.577749299,2067.952606284825
-11.127741276118515,0.0008080438818867733,2021-07-08T02:56:33.705,2833673.516976763,2108.9216133929463
-11.079530188366071,0.000848659031875986,2021-07-08T03:02:25.022,2710464.500186388,2118.6179189583527
-10.997061490160693,0.0008863359039576468,2021-07-08T03:14:09.807,2512236.811023502,2050.8533058914
-11.084195457721586,0.0008461086262975569,2021-07-08T02:58:30.840,2722163.220796759,2121.367762456788
-11.011186018544857,0.0008760528649939781,2021-07-08T03:10:14.380,2544980.1648302525,2053.479615934025
-11.017072412759594,0.000872309901832381,2021-07-08T03:06:19.468,2558815.422001997,2055.8216809864853
-11.190853349877546,0.0007766685215515806,2021-07-08T02:54:36.698,3003211.926064115,2148.312045136143
-10.990964120471943,0.0008889821909111195,2021-07-08T03:12:11.823,2498292.472980692,2045.5590468790663
-11.070722231270913,0.000851977690013445,2021-07-08T03:00:27.821,2688672.2385229794,2109.802319330767
-11.13785708710645,0.000843077137006025,2021-07-09T08:31:48.324,2859970.087960616,2220.7746072332975
-11.186867944140381,0.0008131599245459248,2021-07-09T08:41:02.598,2992178.4245062685,2240.985951501442
-11.173209665102473,0.000823009943925279,2021-07-09T08:24:19.514,2954684.9740769085,2239.7108102088396
-11.13911159849055,0.0008408706287521697,2021-07-09T08:35:30.017,2863305.096160596,2217.545243463822
-11.206340685054181,0.0008130402618354192,2021-07-09T08:42:53.810,3046327.4470627652,2281.2050057298134
-11.096932014692971,0.0008663536707839108,2021-07-09T08:29:57.607,2754311.8797885245,2197.7789789832973
-11.159972838196687,0.0008329004590862566,2021-07-09T08:39:11.626,2918968.744429262,2239.2275367064594
-11.110547985379336,0.0008484390914224965,2021-07-09T08:33:38.954,2788987.13972564,2179.429685081736
-11.057529161719806,0.0008803773143855194,2021-07-09T08:28:04.668,2656066.732168681,2153.6915562434438
-11.159243092071428,0.0008353975876220855,2021-07-09T08:37:20.808,2916920.242689658,2244.364812879952
-11.084927432704951,0.0008654874916354756,2021-07-09T08:26:10.303,2724026.2134631113,2171.4396225413507
